Symbol,Name,ISIN,Exchange
ALBERTDAVD.NS,Albert David Limited,INE155C01010,NSE
ALEMBICLTD.NS,Alembic Limited,INE426A01027,NSE
ALGOQUANT.NS,Algoquant Fintech Limited,INE598D01035,NSE
ALICON.NS,Alicon Castalloy Limited,INE062D01024,NSE
ALIVUS.NS,Alivus Life Sciences Limited,INE03Q201024,NSE
ALKALI.NS,Alkali Metals Limited,INE773I01017,NSE
ALKEM.NS,Alkem Laboratories Limited,INE540L01014,NSE
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,INE150B01039,NSE
ALLCARGO.NS,Allcargo Logistics Limited,INE418H01029,NSE
ALLDIGI.NS,Alldigi Tech Limited,INE835G01018,NSE
ALLTIME.NS,All Time Plastics Limited,INE0GV601021,NSE
ALMONDZ.NS,Almondz Global Securities Limited,INE326B01035,NSE
ALOKINDS.NS,Alok Industries Limited,INE270A01029,NSE
ALPA.NS,Alpa Laboratories Limited,INE385I01010,NSE
ALPHAGEO.NS,Alphageo (India) Limited,INE137C01018,NSE
AMAGI.NS,Amagi Media Labs Limited,INE121R01077,NSE
AMANTA.NS,Amanta Healthcare Limited,INE084K01015,NSE
AMBALALSA.NS,Ambalal Sarabhai Enterprises Limited,INE432A01017,NSE
AMBER.NS,Amber Enterprises India Limited,INE371P01015,NSE
AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited,INE792B01012,NSE
AMBIKCO.NS,Ambika Cotton Mills Limited,INE540G01014,NSE
AMBUJACEM.NS,Ambuja Cements Limited,INE079A01024,NSE
AMDIND.NS,AMD Industries Limited,INE005I01014,NSE
AMIRCHAND.NS,Amir Chand Jagdish Kumar (Exports) Limited,INE05TO01019,NSE
AMJLAND.NS,Amj Land Holdings Limited,INE606A01024,NSE
AMNPLST.NS,Amines & Plasticizers Limited,INE275D01022,NSE
AMRUTANJAN.NS,Amrutanjan Health Care Limited,INE098F01031,NSE
ANANDRATHI.NS,Anand Rathi Wealth Limited,INE463V01026,NSE
ANANTRAJ.NS,Anant Raj Limited,INE242C01024,NSE
ANDHRAPAP.NS,ANDHRA PAPER LIMITED,INE435A01051,NSE
ANDHRSUGAR.NS,The Andhra Sugars Limited,INE715B01021,NSE
ANGELONE.NS,Angel One Limited,INE732I01021,NSE
ANMOL.NS,Anmol India Limited,INE02AR01019,NSE
ANTELOPUS.NS,Antelopus Selan Energy Limited,INE818A01017,NSE
ANTGRAPHIC.NS,Antarctica Limited,INE414B01021,NSE
ANTHEM.NS,Anthem Biosciences Limited,INE0CZ201020,NSE
ANUHPHR.NS,Anuh Pharma Limited,INE489G01022,NSE
ANUP.NS,The Anup Engineering Limited,INE294Z01018,NSE
ANURAS.NS,Anupam Rasayan India Limited,INE930P01018,NSE
APARINDS.NS,Apar Industries Limited,INE372A01015,NSE
APCL.NS,Anjani Portland Cement Limited,INE071F01012,NSE
APCOTEXIND.NS,Apcotex Industries Limited,INE116A01032,NSE
APEX.NS,Apex Frozen Foods Limited,INE346W01013,NSE
APLAPOLLO.NS,APL Apollo Tubes Limited,INE702C01027,NSE
APLLTD.NS,Alembic Pharmaceuticals Limited,INE901L01018,NSE
APOLLO.NS,Apollo Micro Systems Limited,INE713T01028,NSE
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,INE437A01024,NSE
APOLLOPIPE.NS,Apollo Pipes Limited,INE126J01016,NSE
APOLLOTYRE.NS,Apollo Tyres Limited,INE438A01022,NSE
APOLSINHOT.NS,Apollo Sindoori Hotels Limited,INE451F01024,NSE
APTECHT.NS,Aptech Limited,INE266F01018,NSE
APTUS.NS,Aptus Value Housing Finance India Limited,INE852O01025,NSE
AQYLON.NS,Aqylon Nexus Limited,INE416A01051,NSE
ARCHIDPLY.NS,Archidply Industries Limited,INE877I01016,NSE
ARCHIES.NS,Archies Limited,INE731A01020,NSE
ARE&M.NS,Amara Raja Energy & Mobility Limited,INE885A01032,NSE
ARENTERP.NS,Rajdarshan Industries Limited,INE610C01014,NSE
ARFIN.NS,Arfin India Limited,INE784R01023,NSE
ARIES.NS,Aries Agro Limited,INE298I01015,NSE
ARIHANT.NS,Arihant Foundations & Housing Limited,INE413D01011,NSE
ARIHANTCAP.NS,Arihant Capital Markets Limited,INE420B01036,NSE
ARIHANTSUP.NS,Arihant Superstructures Limited,INE643K01018,NSE
ARIS.NS,Arisinfra Solutions Limited,INE0H9P01028,NSE
ARKADE.NS,Arkade Developers Limited,INE0QRL01017,NSE
ARMANFIN.NS,Arman Financial Services Limited,INE109C01017,NSE
AROGRANITE.NS,Aro Granite Industries Limited,INE210C01013,NSE
ARROWGREEN.NS,Arrow Greentech Limited,INE570D01018,NSE
ARSSBL.NS,Anand Rathi Share and Stock Brokers Limited,INE549H01021,NSE
ARTEMISMED.NS,Artemis Medicare Services Limited,INE025R01021,NSE
ARVEE.NS,Arvee Laboratories (India) Limited,INE006Z01016,NSE
ARVIND.NS,Arvind Limited,INE034A01011,NSE
ARVINDFASN.NS,Arvind Fashions Limited,INE955V01021,NSE
ARVSMART.NS,Arvind SmartSpaces Limited,INE034S01021,NSE
ASAHIINDIA.NS,Asahi India Glass Limited,INE439A01020,NSE
ASAHISONG.NS,Asahi Songwon Colors Limited,INE228I01012,NSE
ASAL.NS,Automotive Stampings and Assemblies Limited,INE900C01027,NSE
ASALCBR.NS,Associated Alcohols & Breweries Ltd.,INE073G01016,NSE
ASHAPURMIN.NS,Ashapura Minechem Limited,INE348A01023,NSE
ASHIANA.NS,Ashiana Housing Limited,INE365D01021,NSE
ASHIKA.NS,Ashika Credit Capital Limited,INE094B01013,NSE
ASHIMASYN.NS,Ashima Limited,INE440A01010,NSE
ASHOKA.NS,Ashoka Buildcon Limited,INE442H01029,NSE
ASHOKAMET.NS,Ashoka Metcast Limited,INE760Y01011,NSE
ASHOKLEY.NS,Ashok Leyland Limited,INE208A01029,NSE
ASIANENE.NS,Asian Energy Services Limited,INE276G01015,NSE
ASIANHOTNR.NS,Asian Hotels (North) Limited,INE363A01022,NSE
ASIANPAINT.NS,Asian Paints Limited,INE021A01026,NSE
ASIANTILES.NS,Asian Granito India Limited,INE022I01019,NSE
ASKAUTOLTD.NS,ASK Automotive Limited,INE491J01022,NSE
ASMS.NS,Bartronics India Limited,INE855F01042,NSE
ASPINWALL.NS,Aspinwall and Company Limited,INE991I01015,NSE
ASTAR.NS,Asian Star Company Limited,INE194D01017,NSE
ASTEC.NS,Astec LifeSciences Limited,INE563J01010,NSE
ASTERDM.NS,Aster DM Healthcare Limited,INE914M01019,NSE
ASTRAL.NS,Astral Limited,INE006I01046,NSE
ASTRAMICRO.NS,Astra Microwave Products Limited,INE386C01029,NSE
ASTRAZEN.NS,AstraZeneca Pharma India Limited,INE203A01020,NSE
ATALREAL.NS,Atal Realtech Limited,INE0ALR01029,NSE
ATAM.NS,Atam Valves Limited,INE09KD01013,NSE
ATGL.NS,Adani Total Gas Limited,INE399L01023,NSE
ATHERENERG.NS,Ather Energy Limited,INE0LEZ01016,NSE
ATL.NS,Allcargo Terminals Limited,INE0NN701020,NSE
ATLANTAA.NS,ATLANTAA LIMITED,INE285H01022,NSE
ATLANTAELE.NS,Atlanta Electricals Limited,INE0Z4F01028,NSE
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,INE446A01025,NSE
ATUL.NS,Atul Limited,INE100A01010,NSE
ATULAUTO.NS,Atul Auto Limited,INE951D01028,NSE
AUBANK.NS,AU Small Finance Bank Limited,INE949L01017,NSE
AURIGROW.NS,Auri Grow India Limited,INE925Y01036,NSE
AURIONPRO.NS,Aurionpro Solutions Limited,INE132H01018,NSE
AUROPHARMA.NS,Aurobindo Pharma Limited,INE406A01037,NSE
AURUM.NS,Aurum PropTech Limited,INE898S01029,NSE
AUSOMENT.NS,Ausom Enterprise Limited,INE218C01016,NSE
AUTOAXLES.NS,Automotive Axles Limited,INE449A01011,NSE
AUTOIND.NS,Autoline Industries Limited,INE718H01014,NSE
AVAILFC.NS,Available Finance Limited,INE325G01010,NSE
AVALON.NS,Avalon Technologies Limited,INE0LCL01028,NSE
AVANTEL.NS,Avantel Limited,INE005B01027,NSE
AVANTIFEED.NS,Avanti Feeds Limited,INE871C01038,NSE
AVG.NS,AVG Logistics Limited,INE680Z01018,NSE
AVL.NS,Aditya Vision Limited,INE679V01027,NSE
AVONMORE.NS,Avonmore Capital & Management Services Limited,INE323B01024,NSE
AVROIND.NS,AVRO INDIA LIMITED,INE652Z01025,NSE
AVTNPL.NS,AVT Natural Products Limited,INE488D01021,NSE
AWFIS.NS,Awfis Space Solutions Limited,INE108V01019,NSE
AWHCL.NS,Antony Waste Handling Cell Limited,INE01BK01022,NSE
AWL.NS,AWL Agri Business Limited,INE699H01024,NSE
AXISBANK.NS,Axis Bank Limited,INE238A01034,NSE
AXISCADES.NS,AXISCADES Technologies Limited,INE555B01013,NSE
AXITA.NS,Axita Cotton Limited,INE02EZ01022,NSE
AYE.NS,Aye Finance Limited,INE501X01029,NSE
AYMSYNTEX.NS,AYM Syntex Limited,INE193B01039,NSE
AZAD.NS,Azad Engineering Limited,INE02IJ01035,NSE
BAGFILMS.NS,B.A.G Films and Media Limited,INE116D01028,NSE
BAIDFIN.NS,Baid Finserv Limited,INE020D01022,NSE
BAJAJ-AUTO.NS,Bajaj Auto Limited,INE917I01010,NSE
BAJAJCON.NS,Bajaj Consumer Care Limited,INE933K01021,NSE
BAJAJELEC.NS,Bajaj Electricals Limited,INE193E01025,NSE
BAJAJFINSV.NS,Bajaj Finserv Limited,INE918I01026,NSE
BAJAJHCARE.NS,Bajaj Healthcare Limited,INE411U01027,NSE
BAJAJHFL.NS,Bajaj Housing Finance Limited,INE377Y01014,NSE
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,INE306A01021,NSE
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,INE118A01012,NSE
BAJAJINDEF.NS,Indef Manufacturing Limited,INE0O9T01021,NSE
BAJAJST.NS,Bajaj Steel Industries Limited,INE704G01024,NSE
BAJEL.NS,Bajel Projects Limited,INE0KQN01018,NSE
BAJFINANCE.NS,Bajaj Finance Limited,INE296A01032,NSE
BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011,NSE
BALAJITELE.NS,Balaji Telefilms Limited,INE794B01026,NSE
BALAMINES.NS,Balaji Amines Limited,INE050E01027,NSE
BALKRISHNA.NS,Balkrishna Paper Mills Limited,INE875R01011,NSE
BALKRISIND.NS,Balkrishna Industries Limited,INE787D01026,NSE
BALMLAWRIE.NS,Balmer Lawrie & Company Limited,INE164A01016,NSE
BALPHARMA.NS,Bal Pharma Limited,INE083D01012,NSE
BALRAMCHIN.NS,Balrampur Chini Mills Limited,INE119A01028,NSE
BALUFORGE.NS,Balu Forge Industries Limited,INE011E01029,NSE
BANARBEADS.NS,Banaras Beads Limited,INE655B01011,NSE
BANARISUG.NS,Bannari Amman Sugars Limited,INE459A01010,NSE
BANCOINDIA.NS,Banco Products (I) Limited,INE213C01025,NSE
BANDHANBNK.NS,Bandhan Bank Limited,INE545U01014,NSE
BANG.NS,Bang Overseas Limited,INE863I01016,NSE
BANKBARODA.NS,Bank of Baroda,INE028A01039,NSE
BANKINDIA.NS,Bank of India,INE084A01016,NSE
BANSALWIRE.NS,Bansal Wire Industries Limited,INE0B9K01025,NSE
BANSWRAS.NS,Banswara Syntex Limited,INE629D01020,NSE
BASF.NS,BASF India Limited,INE373A01013,NSE
BASML.NS,Bannari Amman Spinning Mills Limited,INE186H01022,NSE
BATAINDIA.NS,Bata India Limited,INE176A01028,NSE
BATLIBOI.NS,Batliboi Limited,INE177C01022,NSE
BAYERCROP.NS,Bayer Cropscience Limited,INE462A01022,NSE
BBL.NS,Bharat Bijlee Limited,INE464A01036,NSE
BBOX.NS,Black Box Limited,INE676A01027,NSE
BBTC.NS,The Bombay Burmah Trading Corporation Limited,INE050A01025,NSE
BBTCL.NS,B&B Triplewall Containers Limited,INE01EE01011,NSE
BCLIND.NS,Bcl Industries Limited,INE412G01024,NSE
BCONCEPTS.NS,Brand Concepts Limited,INE977Y01011,NSE
BCPL.NS,BCPL Railway Infrastructure Limited,INE00SW01015,NSE
BDL.NS,Bharat Dynamics Limited,INE171Z01026,NSE
BEARDSELL.NS,Beardsell Limited,INE520H01022,NSE
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,INE495P01020,NSE
BEEKAY.NS,Beekay Steel Industries Limited,INE213D01015,NSE
BEL.NS,Bharat Electronics Limited,INE263A01024,NSE
BELLACASA.NS,Bella Casa Fashion & Retail Limited,INE344T01014,NSE
BELRISE.NS,Belrise Industries Limited,INE894V01022,NSE
BEML.NS,BEML Limited,INE258A01024,NSE
BENGALASM.NS,Bengal & Assam Company Limited,INE083K01017,NSE
BEPL.NS,Bhansali Engineering Polymers Limited,INE922A01025,NSE
BERGEPAINT.NS,Berger Paints (I) Limited,INE463A01038,NSE
BESTAGRO.NS,Best Agrolife Limited,INE052T01021,NSE
BETA.NS,Beta Drugs Limited,INE351Y01019,NSE
BFINVEST.NS,BF Investment Limited,INE878K01010,NSE
BFUTILITIE.NS,BF Utilities Limited,INE243D01012,NSE
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,INE414D01027,NSE
BHAGERIA.NS,Bhageria Industries Limited,INE354C01027,NSE
BHARATCOAL.NS,Bharat Coking Coal Limited,INE05XR01022,NSE
BHARATFORG.NS,Bharat Forge Limited,INE465A01025,NSE
BHARATGEAR.NS,Bharat Gears Limited,INE561C01019,NSE
BHARATRAS.NS,Bharat Rasayan Limited,INE838B01021,NSE
BHARATSE.NS,Bharat Seats Limited,INE415D01024,NSE
BHARATWIRE.NS,Bharat Wire Ropes Limited,INE316L01019,NSE
BHARTIARTL.NS,Bharti Airtel Limited,INE397D01024,NSE
BHARTIHEXA.NS,Bharti Hexacom Limited,INE343G01021,NSE
BHEL.NS,Bharat Heavy Electricals Limited,INE257A01026,NSE
BI.NS,Bilcare Limited,INE986A01012,NSE
BIGBLOC.NS,Bigbloc Construction Limited,INE412U01025,NSE
BIKAJI.NS,Bikaji Foods International Limited,INE00E101023,NSE
BIL.NS,Bhartiya International Limited,INE828A01016,NSE
BIMETAL.NS,Bimetal Bearings Limited,INE469A01019,NSE
BIOCON.NS,Biocon Limited,INE376G01013,NSE
BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014,NSE
BIRLACORPN.NS,Birla Corporation Limited,INE340A01012,NSE
BIRLAMONEY.NS,Aditya Birla Money Limited,INE865C01022,NSE
BIRLANU.NS,BirlaNu Limited,INE557A01011,NSE
BIRLAPREC.NS,Birla Precision Technologies Limited,INE372E01025,NSE
BLACKBUCK.NS,BLACKBUCK LIMITED,INE0UIZ01018,NSE
BLACKROSE.NS,Black Rose Inds. Limited,INE761G01016,NSE
BLAL.NS,BEML Land Assets Limited,INE0N7W01012,NSE
BLIL.NS,Balmer Lawrie Investments Limited,INE525F01025,NSE
BLISSGVS.NS,Bliss GVS Pharma Limited,INE416D01022,NSE
BLKASHYAP.NS,B. L. Kashyap and Sons Limited,INE350H01032,NSE
BLS.NS,BLS International Services Limited,INE153T01027,NSE
BLSE.NS,BLS E-Services Limited,INE0NLT01010,NSE
BLUECHIP.NS,Blue Chip India Limited,INE657B01025,NSE
BLUEDART.NS,Blue Dart Express Limited,INE233B01017,NSE
BLUEJET.NS,Blue Jet Healthcare Limited,INE0KBH01020,NSE
BLUESTARCO.NS,Blue Star Limited,INE472A01039,NSE
BLUESTONE.NS,BlueStone Jewellery and Lifestyle Limited,INE304W01038,NSE
BLUSPRING.NS,Bluspring Enterprises Limited,INE0U4101014,NSE
BMWVENTLTD.NS,BMW Ventures Limited,INE965W01036,NSE
BNAGROCHEM.NS,BN Agrochem Limited,INE00HZ01011,NSE
BNALTD.NS,B & A Limited,INE489D01011,NSE
BODALCHEM.NS,Bodal Chemicals Limited,INE338D01028,NSE
BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited,INE032A01023,NSE
BONLON.NS,Bonlon Industries Limited,INE0B9A01018,NSE
BORANA.NS,Borana Weaves Limited,INE16SF01016,NSE
BOROLTD.NS,Borosil Limited,INE02PY01013,NSE
BORORENEW.NS,BOROSIL RENEWABLES LIMITED,INE666D01022,NSE
BOROSCI.NS,Borosil Scientific Limited,INE02L001032,NSE
BOSCH-HCIL.NS,BOSCH HOME COMFORT INDIA LIMITED,INE782A01015,NSE
BOSCHLTD.NS,Bosch Limited,INE323A01026,NSE
BPCL.NS,Bharat Petroleum Corporation Limited,INE029A01011,NSE
BPL.NS,BPL Limited,INE110A01019,NSE
BRIGADE.NS,Brigade Enterprises Limited,INE791I01019,NSE
BRIGHOTEL.NS,Brigade Hotel Ventures Limited,INE03NU01014,NSE
BRITANNIA.NS,Britannia Industries Limited,INE216A01030,NSE
BRNL.NS,Bharat Road Network Limited,INE727S01012,NSE
BSE.NS,BSE Limited,INE118H01025,NSE
BSHSL.NS,Bombay Super Hybrid Seeds Limited,INE032Z01020,NSE
BSL.NS,BSL Limited,INE594B01012,NSE
BSOFT.NS,BIRLASOFT LIMITED,INE836A01035,NSE
BTML.NS,Bodhi Tree Multimedia Limited,INE0EEJ01023,NSE
BTTL.NS,Bhilwara Technical Textiles Limited,INE274K01012,NSE
BUILDPRO.NS,Shankara Buildpro Limited,INE24OJ01011,NSE
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,INE295F01017,NSE
BVCL.NS,Barak Valley Cements Limited,INE139I01011,NSE
CAMLINFINE.NS,Camlin Fine Sciences Limited,INE052I01032,NSE
CAMPUS.NS,Campus Activewear Limited,INE278Y01022,NSE
CAMS.NS,Computer Age Management Services Limited,INE596I01020,NSE
CANBK.NS,Canara Bank,INE476A01022,NSE
CANFINHOME.NS,Can Fin Homes Limited,INE477A01020,NSE
CANHLIFE.NS,Canara HSBC Life Insurance Company Limited,INE01TY01017,NSE
CANTABIL.NS,Cantabil Retail India Limited,INE068L01024,NSE
CAPACITE.NS,Capacit'e Infraprojects Limited,INE264T01014,NSE
CAPILLARY.NS,Capillary Technologies India Limited,INE0ILV01024,NSE
CAPITALSFB.NS,Capital Small Finance Bank Limited,INE646H01017,NSE
CAPLIPOINT.NS,Caplin Point Laboratories Limited,INE475E01026,NSE
CARBORUNIV.NS,Carborundum Universal Limited,INE120A01034,NSE
CARERATING.NS,CARE Ratings Limited,INE752H01013,NSE
CARRARO.NS,Carraro India Limited,INE0V7W01012,NSE
CARTRADE.NS,Cartrade Tech Limited,INE290S01011,NSE
CARYSIL.NS,CARYSIL LIMITED,INE482D01024,NSE
CASTROLIND.NS,Castrol India Limited,INE172A01027,NSE
CCAVENUE.NS,AvenuesAI Limited,INE483S01020,NSE
CCCL.NS,Consolidated Construction Consortium Limited,INE429I01024,NSE
CCHHL.NS,Country Club Hospitality & Holidays Limited,INE652F01027,NSE
CCL.NS,CCL Products (India) Limited,INE421D01022,NSE
CDSL.NS,Central Depository Services (India) Limited,INE736A01011,NSE
CEATLTD.NS,CEAT Limited,INE482A01020,NSE
CEIGALL.NS,Ceigall India Limited,INE0AG901020,NSE
CEINSYS.NS,Ceinsys Tech Limited,INE016Q01014,NSE
CELEBRITY.NS,Celebrity Fashions Limited,INE185H01016,NSE
CELLO.NS,Cello World Limited,INE0LMW01024,NSE
CEMPRO.NS,Cemindia Projects Limited,INE686A01026,NSE
CENTENKA.NS,Century Enka Limited,INE485A01015,NSE
CENTEXT.NS,Century Extrusions Limited,INE281A01026,NSE
CENTRALBK.NS,Central Bank of India,INE483A01010,NSE
CENTRUM.NS,Centrum Capital Limited,INE660C01027,NSE
CENTUM.NS,Centum Electronics Limited,INE320B01020,NSE
CENTURYPLY.NS,Century Plyboards (India) Limited,INE348B01021,NSE
CERA.NS,Cera Sanitaryware Limited,INE739E01017,NSE
CESC.NS,CESC Limited,INE486A01021,NSE
CEWATER.NS,Concord Enviro Systems Limited,INE037Z01029,NSE
CGCL.NS,Capri Global Capital Limited,INE180C01042,NSE
CGPOWER.NS,CG Power and Industrial Solutions Limited,INE067A01029,NSE
CHALET.NS,Chalet Hotels Limited,INE427F01016,NSE
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,INE085A01013,NSE
CHEMCON.NS,Chemcon Speciality Chemicals Limited,INE03YM01018,NSE
CHEMFAB.NS,Chemfab Alkalis Limited,INE783X01023,NSE
CHEMPLASTS.NS,Chemplast Sanmar Limited,INE488A01050,NSE
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,INE178A01016,NSE
CHEVIOT.NS,Cheviot Company Limited,INE974B01016,NSE
CHOICEIN.NS,Choice International Limited,INE102B01014,NSE
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,INE121A01024,NSE
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,INE149A01033,NSE
CIEINDIA.NS,CIE Automotive India Limited,INE536H01010,NSE
CIFL.NS,Capital India Finance Limited,INE345H01024,NSE
CIGNITITEC.NS,Cigniti Technologies Limited,INE675C01017,NSE
CINELINE.NS,Cineline India Limited,INE704H01022,NSE
CINEVISTA.NS,Cinevista Limited,INE039B01026,NSE
CIPLA.NS,Cipla Limited,INE059A01026,NSE
CLEAN.NS,Clean Science and Technology Limited,INE227W01023,NSE
CLEANMAX.NS,Clean Max Enviro Energy Solutions Limited,INE647U01026,NSE
CLSEL.NS,Chaman Lal Setia Exports Limited,INE419D01026,NSE
CMPDI.NS,Central Mine Planning & Design Institute Limited,INE05HV01027,NSE
CMSINFO.NS,CMS Info Systems Limited,INE925R01014,NSE
