Ticker,Company,Segment
IOC.NS,Indian Oil Corporation,NiftyNext50
IRCTC.NS,Indian Railway Catering,NiftyNext50
IRFC.NS,Indian Railway Finance,NiftyNext50
JINDALSTEL.NS,Jindal Steel & Power,NiftyNext50
MUTHOOTFIN.NS,Muthoot Finance,NiftyNext50
NAUKRI.NS,Info Edge (Naukri),NiftyNext50
NHPC.NS,NHPC,NiftyNext50
NMDC.NS,NMDC,NiftyNext50
OBEROIRLTY.NS,Oberoi Realty,NiftyNext50
OFSS.NS,Oracle Financial Services,NiftyNext50
PAGEIND.NS,Page Industries,NiftyNext50
PIIND.NS,PI Industries,NiftyNext50
PNB.NS,Punjab National Bank,NiftyNext50
RECLTD.NS,REC,NiftyNext50
SHRIRAMFIN.NS,Shriram Finance,NiftyNext50
SIEMENS.NS,Siemens India,NiftyNext50
SRF.NS,SRF,NiftyNext50
TATAPOWER.NS,Tata Power,NiftyNext50
TVSMOTOR.NS,TVS Motor Company,NiftyNext50
VEDL.NS,Vedanta,NiftyNext50
VOLTAS.NS,Voltas,NiftyNext50
ZEEL.NS,Zee Entertainment,NiftyNext50
FEDERALBNK.NS,Federal Bank,NiftyNext50
FORTIS.NS,Fortis Healthcare,NiftyNext50
ALKEM.NS,Alkem Laboratories,Midcap
AUROPHARMA.NS,Aurobindo Pharma,Midcap
BERGEPAINT.NS,Berger Paints,Midcap
BSE.NS,BSE,Midcap
CDSL.NS,CDSL,Midcap
CROMPTON.NS,Crompton Greaves Consumer,Midcap
DEEPAKNTR.NS,Deepak Nitrite,Midcap
DIXON.NS,Dixon Technologies,Midcap
EMAMILTD.NS,Emami,Midcap
ESCORTS.NS,Escorts Kubota,Midcap
GLAND.NS,Gland Pharma,Midcap
JUBLFOOD.NS,Jubilant FoodWorks,Midcap
KAYNES.NS,Kaynes Technology,Midcap
LAURUSLABS.NS,Laurus Labs,Midcap
LTTS.NS,L&T Technology Services,Midcap
LUPIN.NS,Lupin,Midcap
MARICO.NS,Marico,Midcap
MAXHEALTH.NS,Max Healthcare Institute,Midcap
MOTHERSON.NS,Samvardhana Motherson,Midcap
MPHASIS.NS,Mphasis,Midcap
NYKAA.NS,FSN E-Commerce (Nykaa),Midcap
PERSISTENT.NS,Persistent Systems,Midcap
PHOENIXLTD.NS,Phoenix Mills,Midcap
PIDILITIND.NS,Pidilite Industries,Midcap
POLICYBZR.NS,PB Fintech (PolicyBazaar),Midcap
POLYCAB.NS,Polycab India,Midcap
SCHAEFFLER.NS,Schaeffler India,Midcap
SONACOMS.NS,Sona BLW Precision,Midcap
TATAELXSI.NS,Tata Elxsi,Midcap
TRIDENT.NS,Trident,Midcap
UJJIVANSFB.NS,Ujjivan Small Finance Bank,Midcap
VGUARD.NS,V-Guard Industries,Midcap
VINATIORGA.NS,Vinati Organics,Midcap
ZYDUSLIFE.NS,Zydus Lifesciences,Midcap
JSWENERGY.NS,JSW Energy,Midcap
GRINDWELL.NS,Grindwell Norton,Midcap
KPIL.NS,Kalpataru Projects,Midcap
SAFARI.NS,Safari Industries,Midcap
MEDANTA.NS,Medanta (Global Health),Midcap
PATANJALI.NS,Patanjali Foods,Midcap
WELSPUNLIV.NS,Welspun Living,Midcap
UNITDSPR.NS,United Spirits,Midcap
GODREJPROP.NS,Godrej Properties,Midcap
LICI.NS,LIC of India,Largecap
ADANIGREEN.NS,Adani Green Energy,Largecap
ATGL.NS,Adani Total Gas,Largecap
ADANIENSOL.NS,Adani Energy Solutions,Largecap
RITES.NS,RITES,PSU
RVNL.NS,Rail Vikas Nigam (RVNL),PSU
HUDCO.NS,Housing & Urban Dev Corp,PSU
IREDA.NS,Indian Renewable Energy Dev,PSU
NBCC.NS,NBCC India,PSU
SJVN.NS,SJVN,PSU
PRESTIGE.NS,Prestige Estates Projects,Realty
BRIGADE.NS,Brigade Enterprises,Realty
SOBHA.NS,Sobha,Realty
METROPOLIS.NS,Metropolis Healthcare,Healthcare
THYROCARE.NS,Thyrocare Technologies,Healthcare
SYNGENE.NS,Syngene International,Healthcare
AARTIIND.NS,Aarti Industries,Chemicals
APLAPOLLO.NS,APL Apollo Tubes,Industrials
NIACL.NS,New India Assurance,Insurance
ICICIGI.NS,ICICI Lombard General Insurance,Insurance
HDFCAMC.NS,HDFC Asset Management,Finance
ANGELONE.NS,Angel One,Finance
CAMS.NS,CAMS,Finance
